name,symbol,slug
Dogecoin,DOGE,dogecoin
Shiba Inu,SHIB,shiba-inu
Pepe,PEPE,pepe
dogwifhat,WIF,dogwifhat
FLOKI,FLOKI,floki-inu
Brett (Based),BRETT,based-brett
Popcat (SOL),POPCAT,popcat-sol
DOGS,DOGS,dogs
BOOK OF MEME,BOME,book-of-meme
cat in a dogs world,MEW,mew
First Neiro On Ethereum,NEIRO,first-neiro-on-ethereum
Baby Doge Coin,BabyDoge,baby-doge-coin
Mog Coin,MOG,mog-coin
SUNDOG,SUNDOG,sundog
Turbo,TURBO,turbo
PepeCoin,PEPECOIN,pepecoin
Memecoin,MEME,meme
Simon's Cat,CAT,simonscat
Dog (Runes),DOG,dog-go-to-the-moon-rune
Osaka Protocol,OSAK,osaka-protocol
Ponke,PONKE,ponke
Gigachad,GIGA,gigachad-meme
Non-Playable Coin,NPC,non-playable-coin
Coq Inu,COQ,coq-inu
BOBO,BOBO,bobo-coin
Bone ShibaSwap,BONE,bone-shibaswap
MAGA,TRUMP,maga
HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,harrypotterobamasonic10inu-eth
Apu Apustaja,APU,apu-apustaja
SLERF,SLERF,slerf
Mumu the Bull,MUMU,mumu-ing
Neiro Ethereum,NEIRO,neiro-eth
PepeFork,PORK,pepefork
Dogelon Mars,ELON,dogelon
Myro,MYRO,myro
ANDY (ETH),ANDY,boysclubandy
Milady Meme Coin,LADYS,milady-meme-coin
Wen,WEN,wen
michi (SOL),$MICHI,michi
ShibaBitcoin,SHIBTC,shibabitcoin
Mother Iggy,MOTHER,mother-iggy
TokenFi,TOKEN,tokenfi
Kendu Inu,KENDU,kendu-inu
Amaterasu Omikami,OMIKAMI,amaterasu-omikami
MANEKI,MANEKI,maneki-coin
PeiPei (ETH),PEIPEI,peipei-coin
ArbDoge AI,AIDOGE,arbdoge-ai
Snek,SNEK,snek
Daddy Tate,DADDY,daddy-tate
Degen,DEGEN,degen-base
Toshi,TOSHI,toshithecat
RETARDIO,RETARDIO,retardio
SPX6900,SPX,spx6900
MAGA,MAGA,maga-ethereum
RichQUACK.com,QUACK,richquack-com
